Julia Lima (segue 498, seguido por 500)
Theo Oliveira (segue 478, seguido por 500)
Ayla Santos (segue 472, seguido por 500)
Manuela Gomes (segue 470, seguido por 500)
Anthony Costa (segue 464, seguido por 500)
Julia Costa (segue 461, seguido por 500)
Bernardo Oliveira (segue 460, seguido por 500)
Alice Pereira (segue 454, seguido por 500)
Helena Nascimento (segue 443, seguido por 500)
Davi Rocha (segue 404, seguido por 500)
Miguel Dias (segue 391, seguido por 500)
Isis Santos (segue 390, seguido por 500)
Valentina Carvalho (segue 374, seguido por 500)
Nicolas Pereira (segue 371, seguido por 500)
Miguel Oliveira (segue 357, seguido por 500)
Gabriel Carvalho (segue 354, seguido por 500)
Heloisa Barbosa (segue 340, seguido por 500)
Maria Alice Rocha (segue 310, seguido por 500)
Gabriel Souza (segue 302, seguido por 500)
Valentina Souza (segue 299, seguido por 500)
Pedro Barbosa (segue 297, seguido por 500)
Heloisa Lopes (segue 287, seguido por 500)
Theo Barbosa (segue 270, seguido por 500)
Maria Luisa Oliveira (segue 267, seguido por 500)
Benicio Rocha (segue 259, seguido por 500)
Benjamin Santos (segue 250, seguido por 500)
Julia Rocha (segue 248, seguido por 500)
Bernardo Pereira (segue 246, seguido por 500)
Julia Rocha (segue 242, seguido por 500)
Davi Alves (segue 235, seguido por 500)
Elisa Costa (segue 493, seguido por 499)
Noah Oliveira (segue 491, seguido por 499)
Valentina Souza (segue 484, seguido por 499)
Eloa Barbosa (segue 482, seguido por 499)
Noah Carvalho (segue 476, seguido por 499)
Manuela Ferreira (segue 463, seguido por 499)
Manuela Nascimento (segue 457, seguido por 499)
Valentina Silva (segue 429, seguido por 499)
Miguel Fernandes (segue 426, seguido por 499)
Ravi Oliveira (segue 425, seguido por 499)
Helena Lima (segue 421, seguido por 499)
Laura Alves (segue 413, seguido por 499)
Pedro Oliveira (segue 405, seguido por 499)
Heitor Silva (segue 399, seguido por 499)
Anthony Pereira (segue 388, seguido por 499)
Arthur Souza (segue 383, seguido por 499)
Miguel Dias (segue 378, seguido por 499)
Bernardo Costa (segue 370, seguido por 499)
Gael Santos (segue 369, seguido por 499)
Gael Carvalho (segue 366, seguido por 499)
Valentina Lima (segue 366, seguido por 499)
Bernardo Alves (segue 330, seguido por 499)
Heloisa Santos (segue 317, seguido por 499)
Ayla Rodrigues (segue 314, seguido por 499)
Anthony Lopes (segue 309, seguido por 499)
Julia Carvalho (segue 308, seguido por 499)
Antonella Lima (segue 301, seguido por 499)
Gael Costa (segue 270, seguido por 499)
Julia Souza (segue 270, seguido por 499)
Maria Alice Nascimento (segue 265, seguido por 499)
Davi Gomes (segue 247, seguido por 499)
Nicolas Carvalho (segue 246, seguido por 499)
Nicolas Silva (segue 245, seguido por 499)
Miguel Rodrigues (segue 234, seguido por 499)
Julia Ferreira (segue 224, seguido por 499)
Benjamin Santos (segue 222, seguido por 499)
Noah Barbosa (segue 200, seguido por 499)
Isaac Alves (segue 469, seguido por 498)
Ayla Costa (segue 467, seguido por 498)
Maite Costa (segue 462, seguido por 498)
Maria Luisa Nascimento (segue 454, seguido por 498)
Isabella Santos (segue 434, seguido por 498)
Isis Oliveira (segue 420, seguido por 498)
Alice Lopes (segue 385, seguido por 498)
Anthony Alves (segue 363, seguido por 498)
Alice Alves (segue 307, seguido por 498)
Benicio Carvalho (segue 300, seguido por 498)
Luisa Oliveira (segue 297, seguido por 498)
Nicolas Carvalho (segue 296, seguido por 498)
Nicolas Lima (segue 280, seguido por 498)
Manuela Dias (segue 276, seguido por 498)
Luisa Souza (segue 264, seguido por 498)
Antonella Souza (segue 255, seguido por 498)
Maite Lima (segue 250, seguido por 498)
Laura Souza (segue 228, seguido por 498)
Noah Lima (segue 226, seguido por 498)
Laura Carvalho (segue 490, seguido por 497)
Antonella Lopes (segue 484, seguido por 497)
Laura Carvalho (segue 477, seguido por 497)
Maria Luisa Lopes (segue 465, seguido por 497)
Manuela Martins (segue 458, seguido por 497)
Eloa Oliveira (segue 445, seguido por 497)
Valentina Dias (segue 422, seguido por 497)
Laura Santos (segue 418, seguido por 497)
Miguel Rodrigues (segue 417, seguido por 497)
Gael Carvalho (segue 403, seguido por 497)
Heloisa Gomes (segue 393, seguido por 497)
Gael Pereira (segue 371, seguido por 497)
Cecilia Dias (segue 355, seguido por 497)
Anthony Nascimento (segue 342, seguido por 497)
Maite Oliveira (segue 335, seguido por 497)
Maite Dias (segue 326, seguido por 497)
Isis Barbosa (segue 241, seguido por 497)
Miguel Nascimento (segue 229, seguido por 497)
Isaac Dias (segue 218, seguido por 497)
Matheus Barbosa (segue 211, seguido por 497)
Liz Rodrigues (segue 489, seguido por 496)
Laura Costa (segue 475, seguido por 496)
Maria Alice Costa (segue 457, seguido por 496)
Matheus Santos (segue 442, seguido por 496)
Pedro Martins (segue 432, seguido por 496)
Heitor Martins (segue 429, seguido por 496)
Luisa Gomes (segue 426, seguido por 496)
Elisa Souza (segue 419, seguido por 496)
Samuel Fernandes (segue 403, seguido por 496)
